W,R,AB,H,doubles,triples,HR,BB,SO,SB,CS,RA,ER,CG,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,singles,OBP,net_points
84,729,5575,1413,254,45,202,526,926.0,75.0,41.0,688,612,31,4368,1313,141,556,943,141,152.0,0.977,2286609.0,912,0.31781675135223736,41
83,706,5582,1457,261,42,121,477,873.0,96.0,56.0,691,593,17,4374,1393,119,543,909,152,159.0,0.976,1184314.0,1033,0.31919458656543986,15
91,687,5500,1384,261,49,154,473,840.0,128.0,48.0,639,567,27,4383,1433,103,463,846,127,160.0,0.98,2162717.0,920,0.31089904570567556,48
95,682,5502,1434,226,28,129,539,846.0,136.0,58.0,579,482,37,4395,1280,102,462,979,166,131.0,0.9740000000000001,3264593.0,1051,0.3266015560337692,103
77,705,5509,1453,282,41,141,502,779.0,68.0,44.0,782,710,41,4278,1468,164,462,767,120,139.0,0.98,1651814.0,989,0.3252370653801364,-77
97,839,5458,1458,272,31,176,620,771.0,155.0,53.0,660,590,25,4320,1373,157,518,907,123,172.0,0.9790000000000001,2214587.0,979,0.34188877920368543,179
98,695,5549,1425,239,35,134,546,872.0,117.0,53.0,568,514,32,4464,1306,111,515,1039,115,138.0,0.982,2761601.0,1017,0.32337981952420014,127
77,757,5581,1475,230,34,155,508,861.0,117.0,58.0,787,712,10,4359,1451,172,607,785,140,137.0,0.977,1334599.0,1056,0.32566923961241584,-30
75,667,5477,1343,238,47,141,527,1095.0,122.0,51.0,673,592,24,4341,1424,115,596,899,139,142.0,0.978,1830350.0,917,0.31145902731512326,-6
57,568,5436,1340,251,28,80,514,842.0,110.0,60.0,708,637,15,4335,1406,107,584,962,133,127.0,0.9790000000000001,735900.0,981,0.31159663865546217,-140
83,650,5507,1405,241,28,109,513,809.0,60.0,39.0,622,548,26,4353,1399,127,443,727,124,158.0,0.98,2210352.0,1027,0.3186046511627907,28
74,719,5521,1410,277,38,171,564,942.0,94.0,35.0,818,745,23,4296,1456,154,637,868,122,156.0,0.98,1128696.0,924,0.32440427280197204,-99
62,556,5420,1263,217,31,115,488,962.0,99.0,55.0,674,581,13,4344,1348,125,572,985,144,134.0,0.977,818697.0,900,0.29637779282329046,-118
101,747,5467,1446,245,59,87,586,853.0,314.0,96.0,572,504,37,4392,1343,98,453,798,108,166.0,0.983,2637563.0,1055,0.3357013051379481,175
62,617,5361,1359,213,41,129,530,819.0,130.0,76.0,785,715,18,4233,1479,173,501,863,119,145.0,0.98,1112497.0,976,0.3206586318112375,-168
99,759,5508,1482,281,53,158,503,807.0,144.0,77.0,588,533,18,4344,1312,147,484,823,125,164.0,0.98,2468925.0,990,0.3302279154882715,171
72,615,5384,1348,241,24,138,538,904.0,93.0,76.0,719,628,17,4272,1443,117,576,932,141,181.0,0.978,1387181.0,945,0.31847348868625464,-104
73,708,5524,1425,223,13,169,563,862.0,64.0,34.0,760,686,17,4308,1451,177,535,954,135,163.0,0.978,1973176.0,1020,0.32659766715952027,-52
95,794,5498,1488,320,21,144,595,707.0,41.0,34.0,696,624,36,4287,1469,167,474,1033,129,146.0,0.9790000000000001,2147641.0,1003,0.34186771705235514,98
72,644,5406,1335,197,34,121,487,940.0,115.0,54.0,699,630,18,4326,1361,143,561,895,117,142.0,0.981,1424313.0,983,0.3091803835058544,-55
70,680,5499,1409,258,27,155,508,966.0,132.0,62.0,781,721,11,4335,1546,143,557,962,124,147.0,0.98,1859102.0,969,0.3191276843682371,-101
86,732,5536,1404,237,35,144,586,920.0,177.0,53.0,717,638,14,4404,1465,136,524,924,140,160.0,0.978,1692432.0,988,0.32505717085919633,15
84,831,5702,1620,270,45,157,456,944.0,141.0,54.0,841,736,31,4341,1548,167,605,744,156,148.0,0.975,1471805.0,1148,0.3371224423514128,-10
87,798,5512,1447,234,30,198,613,885.0,138.0,58.0,714,645,33,4329,1374,183,571,880,108,163.0,0.982,1899437.0,985,0.3363265306122449,84
96,654,5441,1388,244,32,125,536,916.0,163.0,75.0,569,510,18,4368,1203,116,523,1160,130,108.0,0.978,1734276.0,987,0.321900619039652,85
76,654,5561,1403,264,45,137,474,919.0,97.0,46.0,673,611,24,4320,1413,121,479,888,123,153.0,0.98,2320794.0,957,0.31101905550952774,-19
73,638,5471,1373,232,14,130,478,966.0,155.0,67.0,679,607,35,4362,1428,115,499,1051,179,118.0,0.972,3023208.0,997,0.3111447302067574,-41
71,741,5531,1446,257,39,196,501,977.0,81.0,61.0,839,759,39,4296,1579,200,503,937,118,168.0,0.98,1255453.0,954,0.3227785145888594,-98
90,797,5570,1512,275,23,188,645,911.0,139.0,48.0,738,659,13,4329,1461,175,492,878,127,153.0,0.9790000000000001,2268030.0,1026,0.34706355591311344,59
108,783,5558,1462,261,31,148,631,968.0,118.0,48.0,578,513,27,4452,1304,103,509,1083,138,145.0,0.978,2767601.0,1022,0.3381806430764259,205
76,731,5435,1370,213,25,163,553,983.0,139.0,61.0,760,686,22,4299,1334,166,667,937,135,120.0,0.978,1314646.0,969,0.3211422845691383,-29
86,739,5483,1386,266,39,154,589,1154.0,153.0,59.0,713,621,22,4353,1473,130,553,874,137,157.0,0.978,1933335.0,927,0.3252635046113307,26
64,663,5456,1366,273,33,111,569,929.0,152.0,84.0,700,628,17,4350,1397,138,570,924,142,134.0,0.978,1000917.0,949,0.3211618257261411,-37
74,656,5515,1442,239,25,136,484,917.0,96.0,68.0,723,640,13,4329,1406,150,607,934,135,135.0,0.978,1805716.0,1042,0.32105350891815304,-67
67,718,5498,1392,243,41,158,572,1148.0,93.0,76.0,835,743,33,4317,1590,171,585,944,156,191.0,0.975,1029045.0,950,0.32355848434925866,-117
83,698,5501,1394,269,29,114,536,1087.0,148.0,93.0,618,540,18,4380,1264,121,591,992,143,149.0,0.977,1528748.0,982,0.3196952128540666,80
79,601,5378,1270,216,48,58,568,905.0,262.0,78.0,611,549,17,4398,1364,135,485,761,123,178.0,0.981,2471974.0,948,0.3091153716784393,-10
87,771,5529,1479,248,43,184,511,1088.0,103.0,85.0,743,662,15,4350,1356,145,736,1059,120,160.0,0.98,1692002.0,1004,0.3294701986754967,28
86,809,5716,1540,285,35,181,496,848.0,110.0,59.0,733,669,16,4428,1467,164,487,1002,100,150.0,0.9840000000000001,2455477.0,1039,0.3277527366387637,76
69,747,5428,1401,284,24,152,641,834.0,135.0,68.0,829,734,16,4281,1529,163,587,837,116,170.0,0.982,1217402.0,941,0.33646399736365135,-82
67,729,5576,1437,219,20,211,524,939.0,69.0,45.0,880,801,17,4317,1555,226,547,870,109,174.0,0.982,1835692.0,987,0.3214754098360656,-151
78,842,5586,1554,273,26,174,606,825.0,77.0,45.0,825,761,47,4308,1584,190,517,1034,110,158.0,0.982,2231551.0,1081,0.3488372093023256,17
77,748,5538,1427,283,36,173,487,971.0,138.0,52.0,746,691,29,4341,1436,189,537,792,115,174.0,0.981,1208060.0,935,0.31767634854771787,2
76,720,5583,1475,244,33,209,504,1064.0,109.0,48.0,801,725,11,4302,1524,159,628,1024,130,154.0,0.9790000000000001,2035130.0,989,0.3251191062920979,-81
84,783,5560,1478,262,29,192,514,928.0,169.0,46.0,752,684,7,4356,1486,170,485,919,128,137.0,0.9790000000000001,2185205.0,995,0.3279552189660849,31
61,742,5606,1476,267,30,187,489,977.0,140.0,54.0,957,834,24,4266,1566,219,606,849,152,128.0,0.975,1077898.0,992,0.3223954060705496,-215
98,896,5649,1535,274,32,225,653,913.0,106.0,50.0,735,650,33,4368,1430,180,563,976,122,147.0,0.98,2061830.0,1004,0.34719136781973975,161
76,648,5485,1386,238,28,122,526,936.0,162.0,46.0,678,615,13,4323,1363,141,525,1137,115,113.0,0.981,1909902.0,998,0.31808351355847614,-30
83,715,5499,1443,239,40,168,523,1034.0,125.0,43.0,691,611,44,4272,1424,128,548,923,131,151.0,0.9790000000000001,2392471.0,996,0.3264696114247758,24
73,635,5517,1389,236,23,125,445,923.0,128.0,59.0,675,601,29,4365,1415,130,565,1097,155,144.0,0.975,2797409.0,1005,0.3076148943307615,-40
85,786,5441,1422,258,35,196,523,898.0,113.0,65.0,806,734,16,4281,1465,210,564,990,98,147.0,0.9840000000000001,2081976.0,933,0.3261234071093226,-20
89,788,5511,1445,239,16,196,604,949.0,105.0,43.0,758,701,19,4338,1475,179,542,900,102,155.0,0.983,2427672.0,994,0.33507767784137366,30
92,823,5601,1499,287,34,192,592,1012.0,159.0,49.0,698,620,16,4362,1407,135,510,1032,137,137.0,0.978,3034129.0,986,0.33763927014371065,125
81,806,5511,1432,263,33,199,593,1056.0,140.0,63.0,789,694,18,4335,1442,176,531,1042,142,122.0,0.977,1678921.0,937,0.3317496723460026,17
80,702,5475,1390,248,51,169,587,1109.0,111.0,49.0,749,673,13,4344,1453,167,587,877,121,137.0,0.98,2100110.0,922,0.3261299901022765,-47
80,723,5536,1464,282,45,131,535,914.0,140.0,58.0,744,674,25,4335,1377,164,562,914,123,147.0,0.98,1161193.0,1006,0.3292703014330423,-21
65,668,5456,1419,209,48,113,577,992.0,198.0,91.0,763,680,14,4299,1402,175,602,897,146,135.0,0.976,1454061.0,1049,0.3308470081219957,-95
78,760,5508,1499,282,48,161,500,863.0,174.0,73.0,801,713,39,4290,1503,199,497,919,121,150.0,0.98,1134255.0,1008,0.33272303595206393,-41
90,783,5608,1458,274,32,205,511,1094.0,126.0,97.0,669,601,19,4413,1407,146,547,1038,129,183.0,0.98,1917168.0,947,0.3217846053276679,114
95,798,5500,1449,252,49,94,644,933.0,248.0,72.0,693,637,10,4398,1484,129,533,873,116,172.0,0.982,3072122.0,1054,0.3406575520833333,105
75,823,5564,1478,264,35,194,567,1081.0,120.0,71.0,849,743,20,4332,1388,199,760,1103,148,148.0,0.976,1763053.0,985,0.3335508073723699,-26
96,845,5635,1514,277,38,215,555,970.0,126.0,50.0,655,604,18,4362,1323,158,567,1064,111,148.0,0.982,2778429.0,984,0.33424878836833605,190
54,555,5440,1319,228,28,96,432,848.0,95.0,69.0,741,657,14,4338,1481,108,524,810,151,138.0,0.976,848089.0,967,0.29819482288828336,-186
54,550,5358,1275,199,20,137,504,869.0,69.0,44.0,789,714,20,4248,1506,153,523,709,118,172.0,0.981,1660738.0,919,0.30348004094165815,-239
89,813,5545,1569,310,39,124,623,728.0,65.0,36.0,689,629,26,4278,1415,143,493,1085,93,123.0,0.9840000000000001,2464851.0,1096,0.3553826199740597,124
71,631,5449,1327,224,35,132,446,908.0,98.0,46.0,757,659,11,4317,1467,138,533,754,154,177.0,0.976,1115749.0,936,0.300763358778626,-126
77,660,5675,1481,262,46,113,403,910.0,120.0,46.0,694,625,30,4392,1494,115,490,897,125,128.0,0.98,2089034.0,1060,0.3099703849950642,-34
87,641,5426,1334,246,25,122,479,922.0,207.0,56.0,596,542,24,4365,1271,121,504,934,121,131.0,0.98,2072528.0,941,0.3070279424216765,45
78,666,5505,1435,235,28,134,416,866.0,97.0,50.0,731,663,35,4302,1501,120,442,812,124,131.0,0.98,1411610.0,1038,0.31261611214321905,-65
88,703,5433,1358,213,28,143,588,841.0,87.0,42.0,658,596,34,4335,1361,150,497,890,109,129.0,0.982,2081162.0,974,0.32320212589270886,45
82,617,5494,1338,239,31,96,474,840.0,198.0,71.0,631,558,21,4422,1339,123,478,1049,138,124.0,0.978,1933505.0,972,0.30361930294906164,-14
84,704,5469,1419,275,40,121,486,944.0,137.0,54.0,648,579,29,4284,1415,102,465,886,124,147.0,0.98,2350181.0,983,0.3198992443324937,56
94,628,5431,1346,217,25,99,437,947.0,131.0,46.0,544,481,32,4389,1291,84,473,1029,142,126.0,0.977,2980262.0,1005,0.3038513974096796,84
91,759,5510,1508,294,31,151,528,832.0,107.0,63.0,672,625,18,4293,1457,146,453,897,83,155.0,0.986,3030672.0,1032,0.33719774759854254,87
85,772,5592,1469,272,12,148,588,935.0,146.0,39.0,748,689,16,4368,1512,157,487,861,134,161.0,0.978,2633701.0,1037,0.33284789644012946,24
100,703,5408,1387,251,24,152,544,842.0,140.0,51.0,532,465,31,4317,1253,78,404,1100,115,127.0,0.981,3055445.0,960,0.3244287634408602,171
104,800,5602,1474,251,22,156,580,926.0,129.0,54.0,620,569,22,4467,1376,116,553,983,105,151.0,0.983,2287335.0,1045,0.33225493367842124,180
65,597,5403,1294,246,31,106,489,981.0,112.0,49.0,734,659,16,4299,1447,118,628,859,145,139.0,0.976,1990041.0,911,0.30261371350984384,-137
85,651,5379,1327,240,45,110,553,947.0,119.0,60.0,616,555,12,4320,1349,108,469,790,124,128.0,0.98,1866713.0,932,0.31692515171948754,35
83,594,5366,1325,205,35,94,494,892.0,123.0,50.0,583,528,30,4347,1332,112,439,885,116,147.0,0.981,1506896.0,991,0.3104095563139932,11
68,664,5436,1397,271,27,148,461,787.0,95.0,61.0,744,658,28,4284,1385,144,558,981,123,168.0,0.98,1022398.0,951,0.31507546209937254,-80
83,670,5450,1353,227,44,113,550,1023.0,121.0,78.0,626,551,25,4386,1323,99,422,875,129,145.0,0.98,1785297.0,969,0.31716666666666665,44
76,578,5518,1373,207,33,71,484,827.0,234.0,64.0,633,567,17,4410,1387,91,486,881,121,131.0,0.981,2892799.0,1062,0.3093968677107631,-55
70,637,5479,1378,227,39,112,542,1022.0,130.0,57.0,735,647,41,4314,1310,129,654,912,129,145.0,0.9790000000000001,1581901.0,1000,0.3188839063278525,-98
87,763,5557,1491,271,47,158,521,935.0,107.0,36.0,680,612,16,4347,1404,143,528,904,110,170.0,0.982,2595175.0,1015,0.33102994406054626,83
63,584,5463,1281,201,22,128,485,996.0,83.0,54.0,680,595,15,4341,1370,114,468,966,152,124.0,0.976,984930.0,930,0.29690652320107597,-96
87,708,5440,1369,238,33,129,593,957.0,118.0,55.0,686,644,16,4344,1518,134,486,676,87,163.0,0.986,2535208.0,969,0.3252113376429637,22
83,774,5666,1571,326,30,108,643,755.0,56.0,35.0,735,651,14,4380,1448,131,548,1054,127,162.0,0.98,2510012.0,1107,0.3509272467902996,39
69,693,5504,1493,262,36,94,464,873.0,97.0,52.0,750,668,9,4266,1472,144,539,778,151,176.0,0.975,1045651.0,1101,0.32791554959785524,-57
93,702,5513,1438,235,45,124,472,921.0,136.0,57.0,623,556,18,4380,1369,106,532,918,119,130.0,0.981,2491942.0,1034,0.3191311612364244,79
75,632,5520,1362,243,28,128,493,1028.0,128.0,71.0,691,607,16,4392,1404,125,559,981,121,108.0,0.98,1979320.0,963,0.3084982537834691,-59
73,604,5463,1340,221,26,127,499,934.0,74.0,51.0,654,589,23,4359,1423,107,452,844,118,126.0,0.981,1285542.0,966,0.30845353908084533,-50
59,617,5432,1315,198,24,116,585,899.0,103.0,50.0,816,718,24,4281,1514,150,652,831,130,153.0,0.9790000000000001,1543656.0,977,0.31577197939172347,-199
86,647,5516,1316,239,28,97,530,860.0,144.0,62.0,669,598,19,4437,1379,105,551,965,140,121.0,0.977,1834908.0,952,0.3053258352629838,-22
92,690,5475,1428,227,41,101,554,897.0,154.0,51.0,635,572,27,4353,1415,86,455,978,111,139.0,0.982,2477700.0,1059,0.32874440205672584,55
77,554,5465,1313,241,17,89,507,885.0,81.0,54.0,536,480,25,4389,1278,95,504,1052,118,153.0,0.981,2944653.0,966,0.30475552578700604,18
80,740,5581,1542,278,35,117,478,743.0,111.0,53.0,738,680,19,4287,1495,139,500,851,107,141.0,0.982,2277438.0,1112,0.33338834791219674,2
74,698,5458,1470,229,23,130,502,831.0,137.0,60.0,792,707,15,4242,1550,150,521,787,122,183.0,0.98,2170485.0,1088,0.3308724832214765,-94
87,683,5489,1351,280,21,147,504,934.0,158.0,53.0,595,532,24,4362,1260,115,532,1108,144,110.0,0.976,2918710.0,903,0.309527782412815,88
99,712,5416,1414,220,25,127,562,855.0,157.0,55.0,576,497,17,4344,1287,103,510,930,129,159.0,0.9790000000000001,2667225.0,1042,0.33054533288725324,136
67,629,5447,1324,215,36,123,558,926.0,106.0,50.0,735,643,10,4299,1408,127,613,899,133,136.0,0.9790000000000001,1861985.0,950,0.3134054954204829,-106
74,637,5539,1334,263,53,95,563,914.0,155.0,69.0,680,601,20,4461,1394,121,539,827,160,130.0,0.975,1374141.0,923,0.3108816781383153,-43
89,642,5422,1360,215,32,120,552,1013.0,136.0,67.0,626,547,21,4371,1359,133,481,933,152,147.0,0.976,2009031.0,993,0.32005356545028457,16
73,694,5512,1417,237,29,134,489,838.0,81.0,55.0,728,639,15,4314,1422,114,560,897,143,168.0,0.977,1298443.0,1017,0.3176137310448259,-34
92,699,5469,1365,241,52,141,508,1071.0,87.0,54.0,600,534,12,4371,1320,120,471,802,113,135.0,0.982,2059701.0,931,0.31336791032290445,99
86,632,5492,1418,263,47,73,507,848.0,155.0,54.0,608,545,18,4383,1330,84,482,844,111,134.0,0.983,3080980.0,1035,0.3208868144690782,24
83,695,5458,1433,260,46,122,503,989.0,101.0,49.0,714,623,26,4302,1279,119,654,1112,136,137.0,0.978,2043993.0,1005,0.32477772185874854,-19
89,731,5581,1449,265,40,142,521,923.0,144.0,58.0,651,584,12,4401,1408,99,478,849,126,164.0,0.98,3375883.0,1002,0.322844968862668,80
65,682,5504,1376,263,26,162,473,1010.0,92.0,55.0,821,727,17,4287,1527,128,579,938,158,133.0,0.9740000000000001,980129.0,925,0.30935251798561153,-139
76,669,5410,1328,234,22,132,660,962.0,94.0,52.0,698,644,10,4305,1445,161,537,776,91,151.0,0.985,2415189.0,940,0.3275123558484349,-29
88,699,5516,1502,298,31,106,598,795.0,53.0,52.0,664,596,15,4326,1439,92,519,997,123,154.0,0.98,2528986.0,1067,0.3434739941118744,35
94,682,5402,1393,251,44,106,478,903.0,140.0,90.0,633,581,17,4347,1313,106,548,914,124,169.0,0.98,2002357.0,992,0.31819727891156463,49
77,690,5600,1474,240,36,136,406,869.0,151.0,50.0,774,695,13,4326,1510,121,572,877,122,136.0,0.98,2243791.0,1062,0.313020313020313,-84
91,693,5525,1466,284,40,125,466,913.0,166.0,66.0,597,548,14,4368,1338,124,543,1029,102,126.0,0.983,2400892.0,1017,0.32248372558838256,96
77,732,5485,1465,266,41,110,458,836.0,107.0,52.0,737,675,12,4281,1491,163,518,860,117,146.0,0.981,1225240.0,1048,0.32357395254921756,-5
79,750,5479,1418,241,32,172,634,952.0,82.0,57.0,754,698,15,4290,1401,154,661,856,131,178.0,0.9790000000000001,1495785.0,973,0.3356780631441191,-4
75,573,5379,1301,209,32,94,548,997.0,179.0,83.0,656,582,12,4350,1396,130,496,854,131,124.0,0.978,1310927.0,966,0.3119622068500084,-83
75,707,5488,1465,316,44,100,498,879.0,107.0,62.0,709,620,18,4260,1449,116,560,1006,122,161.0,0.98,2244956.0,1005,0.32793184096224526,-2
86,728,5491,1436,222,27,129,538,952.0,141.0,65.0,685,596,29,4326,1364,137,478,1021,130,123.0,0.9790000000000001,3002396.0,1058,0.327417482169514,43
74,666,5499,1458,281,39,100,445,749.0,96.0,53.0,729,657,13,4305,1509,134,489,872,101,161.0,0.983,1751584.0,1038,0.32015477792732167,-63
67,603,5483,1322,208,19,147,427,1027.0,119.0,45.0,749,675,15,4332,1430,144,618,909,126,164.0,0.98,2006436.0,948,0.29593908629441623,-146
91,775,5504,1410,278,21,172,536,851.0,110.0,33.0,613,547,18,4320,1339,119,444,1217,132,107.0,0.978,2732745.0,939,0.3221854304635762,162
103,733,5433,1379,209,22,164,651,992.0,141.0,54.0,570,514,18,4368,1287,123,494,831,87,152.0,0.986,2900217.0,984,0.3336620644312952,163
77,646,5535,1410,237,27,103,582,915.0,108.0,35.0,729,655,18,4347,1381,124,651,840,117,150.0,0.981,1992484.0,1043,0.32564982834722905,-83
95,733,5388,1395,288,42,138,582,914.0,137.0,52.0,619,547,18,4341,1367,135,413,848,134,125.0,0.9790000000000001,2049908.0,927,0.33115577889447234,114
75,673,5554,1429,243,35,123,509,902.0,138.0,59.0,673,597,21,4383,1437,147,507,928,141,141.0,0.977,1856396.0,1028,0.31964374072241464,0
77,640,5474,1419,251,26,107,596,749.0,105.0,51.0,680,592,21,4329,1319,120,606,1064,130,152.0,0.9790000000000001,1509727.0,1035,0.3319604612850082,-40
85,719,5573,1459,221,35,152,488,973.0,109.0,56.0,710,656,14,4338,1477,131,553,788,107,148.0,0.983,1975528.0,1051,0.32123411978221417,9
70,599,5462,1398,255,41,73,517,844.0,221.0,74.0,698,620,8,4329,1432,98,475,833,129,114.0,0.9790000000000001,2573225.0,1029,0.32028767352400067,-99
83,676,5469,1416,257,27,110,575,1054.0,115.0,48.0,696,615,25,4332,1343,113,623,997,133,161.0,0.9790000000000001,2057911.0,1022,0.32941760423560557,-20
86,767,5589,1479,263,50,167,526,970.0,111.0,52.0,661,620,6,4362,1434,143,445,892,86,144.0,0.986,3885284.0,999,0.32788225674570726,106
94,749,5456,1407,255,30,141,563,906.0,165.0,76.0,644,563,18,4356,1304,118,481,969,138,122.0,0.978,2140217.0,981,0.3272968931716232,105
67,686,5604,1421,256,29,170,528,974.0,50.0,33.0,796,743,8,4371,1534,147,504,868,89,172.0,0.986,2552753.0,966,0.31784083496412263,-110
84,731,5530,1486,305,25,126,593,820.0,59.0,39.0,712,641,15,4317,1405,147,530,999,116,165.0,0.981,2562435.0,1030,0.3395394414502695,19
87,758,5594,1464,226,39,139,610,896.0,134.0,74.0,681,622,28,4434,1302,154,601,923,116,151.0,0.982,2934154.0,1060,0.3343004513217279,77
77,695,5522,1395,232,26,159,442,879.0,123.0,64.0,734,652,12,4368,1415,117,542,927,113,120.0,0.982,2314250.0,978,0.30801475519785376,-39
74,689,5501,1419,250,27,164,488,1006.0,124.0,56.0,691,613,7,4320,1372,127,560,997,125,131.0,0.9790000000000001,2372377.0,978,0.31841709801302387,-2
57,576,5470,1390,236,26,79,449,888.0,84.0,58.0,759,677,22,4323,1551,110,441,862,142,150.0,0.976,1051863.0,1049,0.31069437404967054,-183
84,817,5547,1372,259,26,209,699,1185.0,109.0,47.0,794,727,18,4350,1570,148,593,739,104,171.0,0.983,1641661.0,878,0.33157220621197564,23
65,605,5504,1345,240,43,79,502,1027.0,125.0,68.0,717,646,7,4359,1347,129,651,1033,161,129.0,0.9740000000000001,1196152.0,983,0.30752580752580755,-112
82,727,5584,1475,290,41,117,523,969.0,119.0,68.0,722,639,17,4398,1473,105,529,1004,125,141.0,0.98,2161537.0,1027,0.3271655477321107,5
93,665,5408,1366,191,29,108,583,957.0,126.0,68.0,565,496,15,4374,1312,96,500,1028,123,126.0,0.98,3348170.0,1038,0.32532131530629277,100
95,776,5556,1557,270,42,140,526,747.0,107.0,68.0,652,594,21,4347,1402,139,488,876,94,161.0,0.985,2293842.0,1105,0.34248602433410064,124
71,674,5541,1418,249,19,147,473,861.0,109.0,36.0,777,709,3,4332,1510,152,506,936,133,181.0,0.9790000000000001,1863733.0,1003,0.31443298969072164,-103
77,640,5359,1305,250,24,117,578,789.0,153.0,70.0,646,568,12,4311,1403,108,410,1028,143,112.0,0.977,2284484.0,914,0.3171635506147886,-6
84,760,5410,1342,246,19,159,642,981.0,151.0,64.0,776,733,14,4332,1425,155,655,892,107,150.0,0.982,2713493.0,918,0.32782551222736284,-16
78,629,5521,1332,248,33,111,490,1026.0,92.0,30.0,680,627,16,4389,1346,111,670,988,116,111.0,0.981,2050012.0,940,0.3031109632340709,-51
98,768,5449,1433,259,50,126,620,901.0,124.0,46.0,632,557,18,4368,1411,117,401,919,120,134.0,0.981,2065302.0,998,0.3382764870654144,136
84,636,5408,1321,204,36,121,501,1069.0,101.0,64.0,646,576,14,4356,1385,139,457,921,113,130.0,0.982,1804289.0,960,0.30834320528008125,-10
83,702,5494,1400,268,29,126,588,811.0,97.0,44.0,674,617,10,4392,1387,136,628,1003,110,187.0,0.983,2147905.0,977,0.32686616244656364,28
75,649,5463,1345,215,48,141,471,973.0,95.0,57.0,697,646,10,4326,1397,143,544,905,108,151.0,0.982,1737478.0,941,0.30603302999662957,-48
84,651,5362,1366,239,53,68,532,857.0,202.0,110.0,648,588,9,4305,1367,114,454,822,105,133.0,0.983,2448699.0,1006,0.32202239565659996,3
85,829,5703,1539,288,31,177,596,1039.0,102.0,50.0,814,735,9,4437,1486,151,662,1022,134,138.0,0.9790000000000001,2297720.0,1043,0.33894268931576443,15
91,684,5489,1412,295,45,133,499,1043.0,148.0,53.0,622,569,10,4386,1301,121,523,971,127,115.0,0.98,4001527.0,939,0.3191382765531062,62
98,682,5480,1391,223,48,138,493,924.0,126.0,60.0,569,509,26,4380,1321,89,489,948,109,121.0,0.982,3077400.0,982,0.31541938724259166,113
89,705,5485,1423,243,36,148,647,827.0,89.0,48.0,656,617,20,4392,1419,124,518,846,93,168.0,0.985,3567819.0,996,0.337573385518591,49
73,599,5461,1343,259,21,84,591,865.0,44.0,48.0,669,576,22,4344,1403,107,535,943,139,170.0,0.978,2468574.0,979,0.3195637805684071,-70
86,738,5498,1434,269,36,110,622,784.0,160.0,57.0,690,620,21,4383,1400,123,550,810,129,134.0,0.9790000000000001,2681156.0,1019,0.3359477124183007,48
78,593,5590,1420,221,41,104,417,816.0,77.0,51.0,624,553,16,4407,1337,107,575,901,114,142.0,0.982,2126720.0,1054,0.3058098884634593,-31
90,660,5460,1418,281,44,99,563,888.0,125.0,65.0,609,557,9,4347,1362,109,470,1060,96,128.0,0.9840000000000001,2315946.0,994,0.3289058608666777,51
76,674,5620,1495,227,24,127,448,885.0,144.0,67.0,746,671,13,4410,1507,159,566,890,141,176.0,0.978,1224094.0,1117,0.3202043506921556,-72
75,791,5515,1411,256,16,182,675,1055.0,66.0,45.0,794,733,10,4305,1534,155,564,693,116,164.0,0.981,1423963.0,957,0.3369951534733441,-3
81,608,5480,1350,255,38,96,506,1025.0,139.0,54.0,668,603,5,4377,1386,114,539,978,112,125.0,0.982,1211412.0,961,0.31005679919812895,-60
72,610,5501,1411,284,42,75,439,741.0,131.0,71.0,667,613,9,4341,1426,106,512,834,122,164.0,0.98,1867689.0,1010,0.3114478114478115,-57
63,548,5368,1333,201,34,72,503,899.0,142.0,78.0,636,545,18,4314,1401,82,553,981,173,136.0,0.973,2473266.0,1026,0.3127235564639755,-88
90,747,5582,1544,275,27,104,527,834.0,123.0,74.0,653,597,16,4359,1391,121,479,923,94,155.0,0.985,2482428.0,1138,0.3390080209526927,94
76,733,5593,1462,281,18,163,536,903.0,78.0,37.0,746,679,20,4356,1453,129,612,851,112,165.0,0.982,1748737.0,1000,0.32599118942731276,-13
72,599,5340,1254,259,17,93,572,956.0,129.0,52.0,653,588,17,4338,1404,98,482,1025,116,134.0,0.981,1779534.0,885,0.30886332882273343,-54
96,745,5387,1389,219,24,142,707,831.0,143.0,59.0,672,600,8,4341,1396,129,601,843,125,158.0,0.9790000000000001,2494160.0,1004,0.34394486380045947,73
70,686,5500,1392,255,36,118,509,1059.0,127.0,31.0,717,652,27,4284,1387,113,549,851,131,128.0,0.978,1927448.0,983,0.3163587951406224,-31
96,693,5527,1409,272,54,106,569,872.0,110.0,53.0,595,551,20,4437,1410,101,455,844,101,144.0,0.9840000000000001,1829395.0,977,0.3244750656167979,98
82,617,5476,1396,255,30,135,453,864.0,69.0,52.0,636,578,9,4383,1444,111,439,971,115,127.0,0.982,1721406.0,976,0.31185697419463654,-19
64,679,5564,1466,278,24,149,474,841.0,100.0,55.0,799,731,21,4335,1467,129,661,894,112,170.0,0.982,1651367.0,1015,0.3212984431931103,-120
72,574,5456,1330,220,36,105,435,1067.0,112.0,64.0,647,586,9,4383,1385,128,502,927,111,174.0,0.982,1560998.0,969,0.2996095739263283,-73
83,631,5594,1464,262,44,94,495,996.0,208.0,118.0,604,556,10,4440,1405,118,400,842,91,146.0,0.985,2418483.0,1064,0.3217277056988011,27
