W,R,AB,H,doubles,triples,HR,BB,SO,SB,CS,RA,ER,CG,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,singles,OBP,net_points
88,684,5406,1390,239,54,115,480,874.0,213.0,90.0,637,547,30,4332,1366,103,499,880,166,133.0,0.973,964106.0,982,0.3177030241250425,47
84,591,5360,1349,208,42,75,536,848.0,152.0,70.0,598,522,21,4299,1385,74,483,744,160,171.0,0.975,1670107.0,1024,0.31970827679782904,-7
56,614,5358,1327,229,37,97,522,702.0,123.0,47.0,834,736,28,4257,1540,155,567,630,141,174.0,0.978,877440.0,964,0.31445578231292515,-220
89,613,5364,1331,240,41,117,554,814.0,87.0,54.0,594,534,42,4365,1377,84,453,840,146,118.0,0.976,1740477.0,933,0.31851977019263267,19
69,600,5415,1351,263,44,79,420,713.0,97.0,42.0,657,572,32,4311,1300,94,600,859,136,155.0,0.978,1278215.0,965,0.3035132819194516,-57
87,692,5347,1353,216,36,132,624,779.0,196.0,91.0,632,544,54,4368,1431,108,421,776,153,140.0,0.976,1447963.0,969,0.33110031820465585,60
59,590,5430,1358,217,39,98,448,645.0,28.0,52.0,775,721,35,4287,1529,149,614,758,130,163.0,0.9790000000000001,1562585.0,1004,0.307247363048656,-185
66,669,5422,1389,220,28,126,490,818.0,98.0,50.0,763,653,32,4221,1496,132,494,779,183,139.0,0.97,769465.0,1015,0.3178281461434371,-94
102,757,5371,1401,258,24,181,608,847.0,99.0,49.0,582,519,52,4302,1279,133,467,786,125,161.0,0.98,1681009.0,938,0.3360093661147349,175
91,841,5538,1567,310,34,194,512,708.0,60.0,43.0,711,641,47,4293,1487,133,463,731,142,166.0,0.977,2353114.0,1029,0.34363636363636363,130
73,730,5463,1505,290,33,127,454,668.0,97.0,62.0,748,642,28,4227,1365,114,618,675,173,142.0,0.972,1280702.0,1055,0.33107993915835726,-18
80,706,5550,1494,250,43,135,478,762.0,73.0,52.0,707,623,20,4338,1500,127,521,933,159,163.0,0.975,1648587.0,1066,0.32714001327140013,-1
90,731,5477,1445,266,31,132,614,902.0,99.0,47.0,644,573,27,4320,1415,103,485,773,124,152.0,0.98,2356933.0,1016,0.3380397307502873,87
81,760,5376,1388,206,29,138,657,786.0,143.0,90.0,805,727,28,4293,1502,138,570,781,126,149.0,0.9790000000000001,1011644.0,1015,0.33896900381236533,-45
85,770,5375,1446,221,35,164,575,814.0,176.0,86.0,738,675,25,4269,1429,167,547,802,120,184.0,0.98,1630929.0,1026,0.33966386554621847,32
89,583,5394,1382,224,52,49,461,745.0,190.0,95.0,582,514,55,4341,1278,90,504,854,137,146.0,0.978,1900312.0,1057,0.3147736976942784,1
85,851,5653,1596,286,79,116,528,675.0,207.0,76.0,816,716,42,4344,1477,165,536,640,146,160.0,0.977,2261845.0,1115,0.3436337162271477,35
79,739,5490,1443,220,24,183,556,834.0,106.0,46.0,717,615,30,4332,1425,101,555,811,118,123.0,0.981,2860954.0,1016,0.33063182269268937,22
82,764,5544,1544,256,46,112,526,693.0,66.0,45.0,725,663,31,4332,1590,128,452,721,134,203.0,0.9790000000000001,1070521.0,1130,0.34102141680395387,39
89,734,5421,1443,226,40,150,509,590.0,65.0,46.0,672,609,43,4296,1446,123,455,731,122,183.0,0.981,2537765.0,1027,0.32917369308600336,62
63,593,5591,1399,255,41,74,498,817.0,135.0,79.0,706,632,16,4446,1486,120,607,819,140,168.0,0.978,788905.0,1029,0.31154540975529643,-113
54,573,5348,1276,188,32,108,482,751.0,104.0,69.0,860,754,41,4287,1606,147,654,726,174,137.0,0.972,306763.0,948,0.30154373927958833,-287
84,683,5463,1453,250,53,119,602,764.0,128.0,76.0,718,666,33,4323,1455,135,477,787,106,148.0,0.983,2775011.0,1031,0.3388293487221764,-35
98,775,5661,1541,264,52,148,483,855.0,180.0,66.0,643,566,24,4479,1424,125,504,904,134,163.0,0.9790000000000001,1435454.0,1077,0.3294270833333333,132
68,603,5446,1316,193,53,93,534,770.0,100.0,58.0,681,596,29,4359,1438,108,513,779,140,154.0,0.978,1456967.0,977,0.3093645484949833,-78
67,711,5544,1490,250,52,132,515,725.0,126.0,52.0,820,732,37,4314,1567,165,571,736,141,170.0,0.978,844447.0,1056,0.33091269186334377,-109
71,672,5395,1328,192,36,125,580,925.0,140.0,73.0,751,664,25,4308,1484,143,577,880,161,138.0,0.9740000000000001,1456402.0,975,0.3193305439330544,-79
86,731,5734,1594,279,63,100,460,838.0,116.0,69.0,693,614,38,4458,1449,127,501,788,132,166.0,0.98,1627256.0,1152,0.3316112366806587,38
83,750,5562,1549,252,26,140,461,607.0,79.0,51.0,698,616,26,4311,1371,135,532,773,130,151.0,0.9790000000000001,1519671.0,1131,0.33372073717416567,52
53,613,5423,1362,253,34,95,448,663.0,75.0,56.0,862,759,44,4251,1537,165,594,613,158,187.0,0.975,1431651.0,980,0.3082950093680804,-249
81,630,5402,1352,226,22,144,434,899.0,73.0,52.0,660,598,29,4284,1397,131,454,696,162,156.0,0.975,1048411.0,960,0.30603152844413983,-30
100,805,5585,1523,258,29,156,587,766.0,111.0,38.0,640,590,42,4380,1438,134,507,789,95,178.0,0.985,1797438.0,1080,0.34186649384316264,165
83,757,5603,1588,297,36,162,475,720.0,79.0,48.0,767,701,30,4323,1557,129,481,696,149,206.0,0.977,1956092.0,1093,0.3394208621256992,-10
70,587,5444,1408,255,38,91,399,670.0,68.0,54.0,722,625,32,4305,1434,108,563,724,171,162.0,0.973,1200365.0,1024,0.3092589423241486,-135
64,614,5619,1411,251,35,107,471,912.0,93.0,64.0,728,639,13,4437,1525,109,589,923,174,149.0,0.9740000000000001,1206776.0,1018,0.3090311986863711,-114
89,707,5516,1445,256,45,113,537,852.0,156.0,43.0,670,624,30,4377,1404,113,506,833,106,144.0,0.983,2022450.0,1031,0.32744093837766397,37
79,738,5470,1517,221,40,89,617,625.0,118.0,58.0,807,743,35,4284,1519,137,552,843,105,143.0,0.983,1033827.0,1167,0.3505832101199277,-69
84,830,5648,1543,232,53,143,645,844.0,75.0,68.0,757,693,40,4401,1505,152,558,741,129,165.0,0.9790000000000001,1785293.0,1115,0.3476879071984745,73
93,637,5566,1455,231,67,75,540,755.0,194.0,74.0,589,510,31,4446,1367,69,466,929,140,145.0,0.978,2278217.0,1082,0.32672780871274154,48
97,809,5714,1633,266,59,115,508,709.0,185.0,43.0,694,621,37,4377,1496,129,465,614,141,150.0,0.978,2288714.0,1193,0.344101575056252,115
